id,subject,body,category,urgency,sentiment,thread,gold_reply_needed,notes_for_eval
1,Issue with my latest invoice,"Hi, I just received my invoice for October and it seems higher than usual. Can you please explain why I was charged an extra £25 this month? I haven’t changed my plan or used any additional services as far as I know.",billing,normal,calm,single,yes,Simple billing question
2,Requesting copy of last month’s invoice,"Hello, Could you send me a copy of my September invoice? I need it for my records and I can’t find it in my account.",billing,low,neutral,single,no,Document request
3,Why is my bill different this month?,"Hi team, My bill this month is higher and I don’t understand why. I haven’t used additional services. Can someone review my account?",billing,normal,confused,single,yes,Bill difference
4,Sudden increase in subscription fee,"Hello, My subscription fee increased without warning. This is frustrating. Please check and fix quickly.",billing,high,frustrated,single,yes,High-urgency billing issue
5,Clarification needed on usage charges,"Hi, Can you explain the usage charges on my latest bill? The numbers look different from previous months.",billing,normal,calm,single,no,Usage clarification
6,VAT information missing,"Hi team, My invoice doesn’t show VAT. Can you reissue it with VAT included?",billing,low,neutral,single,no,VAT missing
7,Duplicate invoice received,"Hello, I received two identical invoices. Do I need to pay both or is it an error?",billing,normal,confused,single,yes,Duplicate invoice
8,Incorrect overcharge on my account,"Hi, You charged me £48 extra. This is unacceptable. Fix this immediately.",billing,high,angry,single,yes,Serious overcharge
9,Need help updating billing address,"Hi team, I moved recently and need to update my billing address. Please guide me.",billing,low,calm,single,no,Billing address update
10,Payment failed notification,"Hello, I received payment failed notification but my bank shows no issue. Can you check?",billing,normal,neutral,single,yes,Payment failure investigation
11,App freezes when uploading files,"Hi, The app freezes every time I upload a file. I need this fixed urgently.",technical_issue,high,frustrated,single,yes,Upload freeze
12,Notifications not working,"Hello, I’m not receiving any notifications. Settings look fine. What should I try?",technical_issue,normal,neutral,single,yes,Notification issue
13,Can’t access my account at all,"Hi support, I’m locked out of my account and get “Access denied.” Fix immediately.",technical_issue,high,angry,single,yes,Account lockout
14,Strange error message,"Hi, I get an error “Module not found: 0x35.” What does this mean?",technical_issue,normal,confused,single,yes,Unknown error message
15,Can’t change profile picture,"Hello, Uploading a new profile picture does nothing. Not urgent.",technical_issue,low,calm,single,no,Profile picture issue
16,System keeps logging me out,"Hi team, The system logs me out every few minutes. Please help.",technical_issue,high,frustrated,single,yes,Session logout issue
